,O1 A,O1 A1,O1 B,O1 C,O2,O3,O4,O4.2,O5 ab,O5 ac,O6,O6.2,O6.3,O7,O8,O9,O9 a,O10,O11,O12,O13,O15,O16,O16.2,O16.3,O17,O18 A,O18 A1,O18 A1A2,O18 ab,O18 ac,O18 B,O18 B1,O19 ab,O20 ab,O20 ac,O21,O22,O23 A,O24,O25,O26,O27,O28 ab,O28 ac,O29,O30,O32,O35,O36,O37,O38,O39,O40,O41,O42,O43,O44,O45,O45 rel,O46,O48,O49,O52,O53,O55,O56,O58,O59,O61,O62,O64,O65,O66,O68,O69,O70,O71,O73,O73 ab,O74,O75,O76,O77,O78,O79,O82,O83,O85,O86,O86.2,O86.3,O87,O88,O90,O91,O96,O97,O98,O99,O100,O101,O102,O103,O104,O105,O107,O108,O109,O110,O111,O112 ab,O112 ac,O113,O114,O115,O116,O117,O118,O119,O120,O121,O123,O124,O125 ab,O126,O126.2,O127,O128 ab,O128 ab.2,O128 ac,O129,O130,O131,O132,O133,O134,O135,O136,O137,O138,O139,O140,O141,O142,O143,O145,O146,O147,O148,O149,O150,O151,O152,O153,O154,O155,O156,O157,O158 ab,O158 ac,O159,O160,O161,O163,O164,O165,O166,O167,O168,O169,O170,O171,O172,O173,O174 ab,O174 ac,O175,O176,O177,O178,O180,O181,O182,O183,O184,O185,O186,O187
O1 A,0.0,0.0,1.0,0.75,0.5,2.1359666666666666,1.7088625,1.72461,1.75,1.75,1.5,1.5,1.5,1.7294925,2.0416666666666665,1.975,1.921875,1.0,1.953125,1.75,1.0,1.5148833333333334,1.9140625,1.671875,1.90625,2.25,1.703125,2.211625,2.193,1.6640625,1.703125,1.6640625,2.0,1.67604,2.25,2.3,2.256575,1.85,2.1,2.0833333333333335,2.125,1.5,3.0670249999999997,1.5,1.75,2.2785925,1.8333333333333333,2.05,1.075,2.0197333333333334,1.75,1.75,1.625,1.9042975,1.41146,1.8562,1.703125,2.0,1.7589249999999998,1.5148833333333334,2.0,1.421875,1.7294925,1.75,0.75,2.304825,1.8333333333333333,1.6985166666666667,1.828125,1.9166666666666667,2.75,1.5,1.925,1.778125,1.9759250000000002,1.634375,1.748535,1.5,2.385,1.75,1.8213,1.5833333333333333,2.0,2.125,1.75,1.478125,1.91797,2.05,1.8391125,1.72754,1.5,1.72754,1.5,1.4794416666666665,1.722655,1.8,1.9246825,2.62245,1.5,2.25,1.25,2.25,2.5899083333333333,1.83125,2.0,1.5,1.65,1.75,1.4794416666666665,1.5,2.3486833333333332,1.895995,1.9921875,1.6923825,1.75,1.375,1.875,1.65,1.75,1.674805,1.6260400000000002,1.75,1.75,2.625,2.195575,1.5,1.5138916666666666,1.921875,1.5,1.5,1.5,1.25,2.6359666666666666,2.25,1.425,1.525,2.0,1.72741,2.0,2.1694416666666667,1.393555,1.2247000000000001,2.2056,1.883775,1.703125,1.7421875,1.6666666666666667,1.657775,1.709595,1.4533375,1.1071416666666667,1.075,1.7268075,1.6640625,1.925,1.25,2.4254416666666665,1.7094725,1.75,2.375,2.0043833333333336,1.5,1.703125,1.9166666666666667,1.722655,2.625,2.0,1.828125,1.7,1.6923825,2.25,1.6713875,1.9,1.7,1.75,1.597225,1.3613,1.775,1.875,1.44043,1.92604,1.375,1.75,1.6974083333333334,2.25,1.75,1.725,1.75,1.5476166666666666
O1 A1,0.0,0.0,1.0,0.75,0.5,2.1359666666666666,1.7088625,1.72461,1.75,1.75,1.5,1.5,1.5,1.7294925,2.0416666666666665,1.975,1.921875,1.0,1.953125,1.75,1.0,1.5148833333333334,1.9140625,1.671875,1.90625,2.25,1.703125,2.211625,2.193,1.6640625,1.703125,1.6640625,2.0,1.67604,2.25,2.3,2.256575,1.85,2.1,2.0833333333333335,2.125,1.5,3.0670249999999997,1.5,1.75,2.2785925,1.8333333333333333,2.05,1.075,2.0197333333333334,1.75,1.75,1.625,1.9042975,1.41146,1.8562,1.703125,2.0,1.7589249999999998,1.5148833333333334,2.0,1.421875,1.7294925,1.75,0.75,2.304825,1.8333333333333333,1.6985166666666667,1.828125,1.9166666666666667,2.75,1.5,1.925,1.778125,1.9759250000000002,1.634375,1.748535,1.5,2.385,1.75,1.8213,1.5833333333333333,2.0,2.125,1.75,1.478125,1.91797,2.05,1.8391125,1.72754,1.5,1.72754,1.5,1.4794416666666665,1.722655,1.8,1.9246825,2.62245,1.5,2.25,1.25,2.25,2.5899083333333333,1.83125,2.0,1.5,1.65,1.75,1.4794416666666665,1.5,2.3486833333333332,1.895995,1.9921875,1.6923825,1.75,1.375,1.875,1.65,1.75,1.674805,1.6260400000000002,1.75,1.75,2.625,2.195575,1.5,1.5138916666666666,1.921875,1.5,1.5,1.5,1.25,2.6359666666666666,2.25,1.425,1.525,2.0,1.72741,2.0,2.1694416666666667,1.393555,1.2247000000000001,2.2056,1.883775,1.703125,1.7421875,1.6666666666666667,1.657775,1.709595,1.4533375,1.1071416666666667,1.075,1.7268075,1.6640625,1.925,1.25,2.4254416666666665,1.7094725,1.75,2.375,2.0043833333333336,1.5,1.703125,1.9166666666666667,1.722655,2.625,2.0,1.828125,1.7,1.6923825,2.25,1.6713875,1.9,1.7,1.75,1.597225,1.3613,1.775,1.875,1.44043,1.92604,1.375,1.75,1.6974083333333334,2.25,1.75,1.725,1.75,1.5476166666666666
O1 B,1.0,1.0,0.0,0.25,1.0,2.3377166666666667,1.5,1.6929925,2.1875,1.987915,1.9453125,1.9375,1.9453125,1.874145,1.627975,1.527085,1.5,1.2106925,2.17578,1.75,1.0,1.6666666666666667,1.75,1.75,1.75,1.9453125,1.5,1.91,2.1254,1.697265,1.5,1.697265,2.125,1.175,1.875,2.1,2.5416666666666665,2.1,2.44,2.0444416666666667,2.585525,1.4166666666666667,3.0833333333333335,1.9140625,1.6875,2.25,2.0166666666666666,2.2875,0.75625,2.2609666666666666,2.13672,1.9453125,1.7011725,1.75,1.675,1.7265625,2.0,1.75,1.6696416666666665,1.6666666666666667,2.25,1.898255,1.95453,2.0,1.5,2.125,1.7111083333333335,2.0500000000000003,2.0,2.1666666666666665,2.5570166666666667,1.75,2.1,1.652085,1.828705,0.9270849999999999,2.0,1.9375,2.25,1.75,2.0500000000000003,1.422225,2.25,1.75,2.0,1.825,2.09375,2.4875,1.75,1.75,1.5,1.75,1.75,2.0444416666666667,1.75,2.05,1.953125,3.081625,1.75,1.75,1.25,2.6875,2.6666666666666665,1.9,2.0625,1.744,1.93021,1.75,2.0444416666666667,1.6953125,2.4627166666666667,2.0625,2.171875,1.75,2.1875,1.75,2.1,1.93021,1.72705,1.88359,0.977085,2.0,2.0,2.8333333333333335,2.25,1.5,1.39,1.5,1.7265625,1.9453125,1.7265625,1.25,2.793858333333333,2.25,1.525,1.275,2.25,1.21704,2.4375,2.5625,1.5,1.2916666666666667,2.390945,2.293858333333333,1.72705,1.9780875,1.9226166666666666,1.42578,1.25,1.25,1.877975,0.754165,1.5,1.5,2.1,1.4980475,2.5877166666666667,1.9370125,1.987915,2.7083333333333335,2.375,1.75,1.96643,1.9226166666666666,1.75,2.8333333333333335,2.25,1.75,1.725,1.972655,2.15,1.964845,2.1010400000000002,2.0,1.5,1.877775,1.752775,1.752085,1.75,1.5,2.1,1.75,2.0,2.0500000000000003,2.25,1.75,1.925,2.0,1.7916666666666667
O1 C,0.75,0.75,0.25,0.0,0.75,2.0877166666666667,1.5,1.458985,2.0,1.75,1.75,1.75,1.75,1.75,1.8005916666666666,1.725,1.70703,0.971465,1.99414,1.75,1.19336,1.5,1.75,1.75,1.75,2.0,1.25,1.75,2.0,1.5,1.25,1.5,2.0,1.425,2.0,2.15,2.3771916666666666,1.9,2.25,2.0416666666666665,2.3377166666666667,1.2680666666666667,3.0942000000000003,1.65625,1.5,2.2136,2.0,2.2875,0.75868,2.2149083333333333,1.921875,1.84375,1.67041,1.75,1.3375,1.609375,1.75,2.0,1.5833333333333333,1.5,2.25,1.66565,1.90625,1.75,1.25,1.883775,1.7555583333333333,1.9277749999999998,1.75,2.1666666666666665,2.625,1.5,2.1,1.65,1.857405,1.15,1.75,1.75,2.32,1.9375,1.9277749999999998,1.3,2.25,1.9140625,2.0,1.7,2.03125,2.4875,1.625,1.746095,1.6767575,1.746095,1.65625,1.8,1.75,2.05,1.75,3.0,1.5,2.0,1.0,2.6875,2.6666666666666665,1.9,2.0,1.70032,1.9,1.75,1.8,1.5,2.3464916666666666,1.99475,2.15625,1.5,2.0,1.5,2.1,1.9,1.4921875,1.743255,1.22604,2.0,1.75,2.6666666666666665,2.17,1.695525,1.4583333333333333,1.70703,1.5,1.75,1.5,1.4344475,2.6666666666666665,2.25,1.5,1.208335,2.25,1.23047,2.4375,2.5625,1.5,1.1834583333333333,2.19472,2.0921083333333335,1.5,1.75,1.9166666666666667,1.4482425,1.4453125,1.25,1.6339249999999998,0.8951399999999999,1.5,1.65625,2.1,1.25,2.3377166666666667,1.75,1.75,2.4714916666666666,2.2916666666666665,1.5,1.854005,1.9166666666666667,1.75,2.6666666666666665,2.25,1.75,1.75,1.74414,2.16,1.73828,2.1,1.9,1.65625,1.7138916666666668,1.5111083333333333,1.85,1.9140625,1.25,2.1,1.75,1.921875,1.9277749999999998,2.37,1.5,1.9,1.75,1.6666666666666667
O2,0.5,0.5,1.0,0.75,0.0,2.3859666666666666,1.7141125,1.688965,1.75,1.5,1.5,1.5,1.5,1.75,1.8594833333333334,1.83021,1.916015,1.25,1.95703,1.924805,1.25,1.6666666666666667,2.0,1.875,1.9375,2.0,1.6828625,2.0,2.0,1.93164,1.6828625,1.93164,2.21,1.429165,2.125,2.3,2.383775,1.9520849999999998,2.39524,2.052775,2.2214916666666666,1.5,3.0688416666666662,1.75,1.75,2.34,1.8027749999999998,2.05,0.8615449999999999,2.1064166666666666,1.75,1.75,1.69336,1.75,1.659375,1.9082025,1.9140625,1.984375,1.7559500000000001,1.6666666666666667,2.0,1.441405,1.75,2.0,0.75,2.3793833333333336,1.8027749999999998,1.695,2.0,1.940475,2.625,1.75,1.85,1.75,1.857405,1.43229,1.9375,1.5,2.295,1.75,1.8170333333333335,1.5833333333333333,2.0,1.933595,1.75,1.50521,1.91797,2.05,1.75,1.9624025,1.75,1.9624025,1.75,1.7083333333333333,1.9140625,1.8,1.75,2.84695,1.6953125,2.195,1.46115,2.25,2.5899083333333333,1.7,2.0,1.7337225,1.658335,1.9990225,1.7083333333333333,1.75,2.3609166666666668,1.910155,1.9975575,1.75,1.75,1.625,1.85,1.658335,1.75,1.5,1.429165,2.0,2.0,2.7916666666666665,2.24,1.75,1.5685166666666666,1.916015,1.5,1.5,1.5,1.469605,2.6271916666666666,2.25,1.4,1.30521,2.0,1.5,2.0,2.1694416666666667,1.25,1.2072666666666667,2.341025,2.0109666666666666,1.6828625,1.5,1.692175,1.47647,1.458985,1.5,1.2712583333333334,1.053735,1.9007575,1.8120125,1.85,1.4140625,2.6754416666666665,1.75,1.5,2.4714916666666666,2.2127166666666667,1.6875,1.71875,1.9411166666666666,1.9140625,2.7916666666666665,2.0,2.1513675,1.7,1.75,2.405,1.74414,2.0,1.908335,1.816405,1.722225,1.4861083333333334,1.6667100000000001,1.7011725,1.5,1.85,1.25,1.75,1.694075,2.374,1.75,1.664585,2.0,1.5
O3,2.1359666666666666,2.1359666666666666,2.3377166666666667,2.0877166666666667,2.3859666666666666,0.0,2.5833333333333335,2.3333333333333335,2.5,2.5964916666666666,2.506575,2.375,2.506575,2.490883333333333,3.0,2.933333333333333,2.8333333333333335,1.8333333333333333,2.490883333333333,2.5833333333333335,2.3333333333333335,2.3333333333333335,2.5833333333333335,2.8333333333333335,2.8333333333333335,2.8333333333333335,1.9649083333333335,1.875,2.125,1.9583333333333333,1.9649083333333335,1.9583333333333333,1.625,3.1333333333333333,2.6666666666666665,2.25,2.3333333333333335,2.3375,1.625,2.6666666666666665,2.4808333333333334,2.319173333333333,3.323733333333333,2.3333333333333335,2.5833333333333335,1.7214916666666669,2.3958333333333335,2.6055533333333334,2.533333333333333,2.5479333333333334,2.2697333333333334,2.2149083333333333,2.3399083333333333,2.26535,1.6375,2.3333333333333335,2.241575,2.5833333333333335,2.6666666666666665,2.3333333333333335,2.8399083333333333,1.8881583333333334,2.75,2.3333333333333335,2.006575,2.2604166666666665,2.5416666666666665,2.37435,2.4649083333333333,2.78125,2.6666666666666665,2.0833333333333335,2.8,2.7333333333333334,2.8333333333333335,2.7333333333333334,1.9649083333333335,2.5,2.381575,2.625,2.553386666666667,1.6666666666666667,2.75,3.0833333333333335,2.25,2.441666666666667,2.375,2.6055533333333334,2.0833333333333335,2.25,2.3333333333333335,2.25,2.1110333333333333,2.24935,2.5899083333333333,2.4,2.2127166666666667,3.0416666666666665,2.0964916666666666,2.5,2.0877166666666667,3.0,2.3020833333333335,2.7375,2.5833333333333335,2.01535,2.6,2.3771916666666666,2.3129066666666667,1.9583333333333333,2.37435,2.0,2.25,2.0,2.5,1.8333333333333333,2.6375,2.4,2.0833333333333335,2.256575,2.533333333333333,2.506575,2.5833333333333335,2.3333333333333335,2.2083333333333335,2.3333333333333335,2.0,2.8333333333333335,2.39035,2.6271916666666666,2.39035,2.3333333333333335,2.6666666666666665,3.0833333333333335,2.433333333333333,2.533333333333333,2.8399083333333333,2.3333333333333335,2.8072933333333334,2.6041666666666665,2.3464916666666666,2.5926,2.2521916666666666,2.4833266666666667,2.4583333333333335,2.3771916666666666,2.4765633333333334,2.7083333333333335,2.8399083333333333,2.5833333333333335,2.2708333333333335,2.533333333333333,2.0833333333333335,2.2083333333333335,2.8,2.4649083333333333,1.6666666666666667,2.01535,2.5964916666666666,2.4713533333333335,2.7024733333333333,1.8333333333333333,2.131575,2.6666666666666665,2.5899083333333333,2.3333333333333335,2.8399083333333333,2.125,2.533333333333333,2.1381583333333336,2.4649083333333333,1.9583333333333333,2.7375,2.533333333333333,2.2083333333333335,2.5616766666666666,2.3168933333333332,2.6333333333333333,2.8399083333333333,2.3333333333333335,2.8,2.75,2.2280666666666664,2.2386466666666665,2.5964916666666666,2.5833333333333335,2.6,2.5833333333333335,2.5185166666666667
O4,1.7088625,1.7088625,1.5,1.5,1.7141125,2.5833333333333335,0.0,0.5,1.75,1.5,2.11084,1.9140625,2.11084,1.75,1.4166666666666667,1.351315,1.25,1.5,1.75,0.5,1.25,0.7675616666666666,1.25,0.75,0.75,1.75,1.25,1.75,1.75,1.375,1.25,1.375,1.875,1.1,1.9375,2.535,2.5877166666666667,1.285525,2.0,2.127775,1.8333333333333333,0.9680666666666666,3.2155833333333335,1.25,1.23354,2.0,2.0833333333333335,1.8625,1.425,2.3333333333333335,2.125,1.9282225,1.75,1.34375,1.65,1.6723625,2.0,1.75,1.2537916666666666,1.0037916666666666,1.5,1.75,1.5625,1.5,1.728515,2.3399083333333333,2.0833333333333335,2.0416666666666665,1.75,1.8541666666666667,2.7083333333333335,1.714845,1.675,1.30014,1.958335,1.101315,2.0,1.5625,2.16,1.884765,1.8361083333333335,1.75,1.9375,1.25,1.59375,1.7043500000000003,1.875,1.6375,1.703125,1.75,1.75,1.75,1.5,1.9166666666666667,1.28125,1.6875,1.75,3.25,1.25,2.25,1.25,1.9375,2.7083333333333335,1.160525,1.9375,2.0,1.6625,1.3125,1.672225,1.40625,2.293858333333333,1.90625,2.0,1.75,1.75,1.75,1.20625,1.53125,1.25,1.898315,1.3,1.5625,1.25,2.4583333333333335,2.21,1.5,1.6694416666666667,1.25,1.947875,1.947875,1.947875,1.5,2.7083333333333335,1.59375,1.075,1.327175,1.5,1.25,2.2083333333333335,2.3333333333333335,1.0,1.4166666666666667,2.235,2.4583333333333335,1.5,1.75,1.6041666666666667,1.71875,1.25,1.0,1.25,1.32935,1.5,1.75,1.675,1.5,2.668858333333333,1.5,1.5,2.3333333333333335,2.4583333333333335,1.75,1.921875,1.6041666666666667,1.28125,2.4583333333333335,1.9375,1.75,1.580435,1.75,2.0,1.75,1.40263,1.080265,1.5,1.922225,1.797225,1.31875,1.5,0.5,1.74375,1.5,1.5,2.0416666666666665,2.0,1.25,1.475,1.0,1.3357416666666666
O4.2,1.72461,1.72461,1.6929925,1.458985,1.688965,2.3333333333333335,0.5,0.0,2.15625,1.941405,2.0,1.75,2.0,1.5,1.9166666666666667,1.85104,1.75,1.6328125,1.5,1.0,1.25,1.1619916666666665,1.25,1.25,1.25,1.7480475,1.4244375,1.75,1.75,1.4667975,1.4244375,1.4667975,1.9655525,1.6,2.25,2.42,2.3552666666666666,1.708335,1.848655,2.0,1.631575,1.3008083333333333,2.9692000000000003,1.75,1.6640625,2.01638,1.9583333333333333,2.15,1.419965,2.3333333333333335,2.1425775,1.9140625,1.5,1.75,1.63646,1.6272575,1.75,1.7265625,1.6547583333333333,1.40625,2.0,1.69336,1.98828,2.0,1.5,2.1732416666666667,1.9749999999999999,1.8338916666666665,1.5,2.1666666666666665,2.4254416666666665,1.6640625,2.1,1.66146,1.62778,1.60104,1.75,1.921875,1.96,1.75,1.6666666666666667,1.7755583333333333,2.25,1.75,2.0,1.752085,1.9707025,1.95,1.70459,1.75,1.92334,1.75,2.0,1.672225,1.75,2.05,1.75,3.14285,1.75,2.125,1.25,2.25,2.460525,1.658335,2.25,2.07544,1.9,1.75,1.5083333333333335,1.75,2.142541666666667,1.6953125,1.75,1.5,2.15625,1.75,1.7020849999999998,1.70521,1.75,1.722655,1.504165,2.0,1.75,2.168858333333333,1.9640875,1.75,1.644075,1.75,1.75,1.75,1.75,1.25,2.460525,2.0,1.5,1.379165,2.0,1.25,2.4375,2.4166666666666665,1.4765625,1.4285750000000002,2.3424825,2.2127166666666667,1.6584475,1.71875,1.9166666666666667,1.5,1.75,1.46045,1.6339249999999998,1.5,1.6953125,1.75,2.1,1.25,2.543858333333333,1.28125,1.941405,2.0416666666666665,2.304825,1.75,1.9375,1.9166666666666667,1.75,2.168858333333333,2.25,1.91162,1.654165,1.5,2.185,1.5,1.902085,1.552085,1.67102,1.70315,1.6916666666666667,1.7,2.0,1.0,2.1,1.965575,1.3125,1.8333333333333333,2.125,1.75,1.9,1.5,1.6122416666666668
O5 ab,1.75,1.75,2.1875,2.0,1.75,2.5,1.75,2.15625,0.0,0.375,1.25,1.25,1.25,1.697265,1.875,1.7,1.75,2.0,1.671875,1.75,2.1875,1.25,2.125,1.75,1.75,2.25,2.0,2.5,2.5,2.0,2.0,2.0,2.325,1.975,1.375,2.2498875,2.267541666666667,1.4,1.915,2.3333333333333335,2.5,1.3333333333333333,3.1884083333333333,1.5,1.75,2.425,1.8666666666666665,1.3,1.9,2.5,1.25,1.75,1.90625,1.25,1.7,2.25,1.75,2.25,1.5,1.5,1.25,1.5,1.5,1.5,1.5,2.5833333333333335,2.3333333333333335,1.714075,2.0,1.4180416666666666,3.0,1.75,1.110525,1.5,2.403705,1.7,1.0,0.5,2.65,1.75,1.8674083333333333,1.8555583333333334,1.0,1.9375,1.25,1.416825,1.5,1.25,2.0,1.609375,1.625,1.609375,1.25,1.8333333333333333,1.1666675,1.107895,2.0,3.5,1.25,2.625,2.0,1.375,2.3693416666666667,1.4,1.25,2.21,0.8002750000000001,1.5,1.8333333333333333,1.5,2.3702666666666667,1.5,1.47705,1.5,0.5,1.75,1.4,0.8002750000000001,1.5,1.75,2.0,1.5,1.5,2.4166666666666665,2.18464,1.75,2.1666666666666665,1.25,1.5,1.47705,1.5,2.25,2.508775,1.5625,1.5,1.9,1.25,2.125,1.25,2.1666666666666665,1.25,1.75,2.105,2.5,1.75,1.5,1.6666666666666667,1.75,1.5,1.5,1.3333333333333333,2.0086950000000003,2.125,2.125,1.0526300000000002,1.75,2.4342083333333333,1.90625,1.03125,2.25,2.3702666666666667,1.75,1.5,1.875,1.5,2.4166666666666665,1.25,1.75,1.9086950000000003,1.875,2.575,1.875,1.25,1.5,2.125,1.6666666666666667,1.6666666666666667,1.5,1.25,1.5,0.9,1.5,2.0,1.714075,2.324345,1.25,0.8004149999999999,1.5,1.3333333333333333
O5 ac,1.75,1.75,1.987915,1.75,1.5,2.5964916666666666,1.5,1.941405,0.375,0.0,1.5,1.5,1.5,1.691405,1.5833333333333333,1.45,1.5,1.9707025,1.828125,1.5,1.953125,1.1666666666666667,2.0,1.5,1.5,2.0,1.75,2.25,2.25,2.0,1.75,2.0,2.425,1.55,1.375,2.105,2.267541666666667,1.45263,2.0,2.177775,2.5877166666666667,1.2575749999999999,3.1884083333333333,1.5,1.5,2.43,1.9277749999999998,1.6,1.65,2.4254416666666665,1.5,1.75,1.875,1.25,1.7,2.0,1.75,2.0,1.2575749999999999,1.2575749999999999,1.4722225,1.75,1.25,1.5,1.7109375,2.5504416666666665,2.177775,1.9407416666666668,2.0,1.379475,2.75,1.75,1.060805,1.25,2.153705,1.45,1.25,0.78125,2.465,1.75,1.9448166666666669,1.9166666666666667,1.25,1.5,1.5,1.45326,1.75,1.5,1.75,1.634765,1.470215,1.634765,1.25,1.922225,1.193415,1.357895,2.0,3.5,1.25,2.375,1.75,1.75,2.5833333333333335,1.35,1.487655,2.125,1.050275,1.5,1.922225,1.5,2.600875,1.75,1.72705,1.734375,0.75,1.75,1.260525,1.050275,1.5,1.5,1.75435,1.5,1.5,2.4254416666666665,2.15932,1.5,1.9166666666666667,1.233025,1.625,1.6567375,1.625,2.0,2.5833333333333335,1.5625,1.255265,1.7,1.4722225,1.875,1.5,2.4166666666666665,1.0,1.5345166666666668,2.2336,2.5,1.5,1.5,1.5833333333333333,1.5,1.25,1.25,1.2575749999999999,1.7586950000000001,1.875,1.9697275,1.003945,1.5,2.4583333333333335,1.941405,0.75,2.3377166666666667,2.600875,1.75,1.6953125,1.875,1.4583325,2.4254416666666665,1.40625,1.90625,1.6586950000000003,1.921875,2.37,1.921875,1.328945,1.500275,1.9697275,1.6605583333333334,1.6605583333333334,1.255265,1.25,1.25,1.15,1.25,2.0,1.9407416666666668,2.25,1.0,0.7160650000000001,1.5,1.0833333333333333
