,O1 A,O1 A1,O1 B,O1 C,O2,O3,O4,O4.2,O5 ab,O5 ac,O6,O6.2,O6.3,O7,O8,O9,O9 a,O10,O11,O12,O13,O15,O16,O16.2,O16.3,O17,O18 A,O18 A1,O18 A1A2,O18 ab,O18 ac,O18 B,O18 B1,O19 ab,O20 ab,O20 ac,O21,O22,O23 A,O24,O25,O26,O27,O28 ab,O28 ac,O29,O30,O32,O35,O36,O37,O38,O39,O40,O41,O42,O43,O44,O45,O45 rel,O46,O48,O49,O52,O53,O55,O56,O58,O59,O61,O62,O64,O65,O66,O68,O69,O70,O71,O73,O73 ab,O74,O75,O76,O77,O78,O79,O82,O83,O85,O86,O86.2,O86.3,O87,O88,O90,O91,O96,O97,O98,O99,O100,O101,O102,O103,O104,O105,O107,O108,O109,O110,O111,O112 ab,O112 ac,O113,O114,O115,O116,O117,O118,O119,O120,O121,O123,O124,O125 ab,O126,O126.2,O127,O128 ab,O128 ab.2,O128 ac,O129,O130,O131,O132,O133,O134,O135,O136,O137,O138,O139,O140,O141,O142,O143,O145,O146,O147,O148,O149,O150,O151,O152,O153,O154,O155,O156,O157,O158 ab,O158 ac,O159,O160,O161,O163,O164,O165,O166,O167,O168,O169,O170,O171,O172,O173,O174 ab,O174 ac,O175,O176,O177,O178,O180,O181,O182,O183,O184,O185,O186,O187
O1 A,0.0,0.0,0.875,0.75,0.5,2.125,1.375,1.25,1.75,1.625,1.5,1.5,1.5,1.5,2.0416666666666665,1.975,1.875,0.75,1.75,1.625,1.0,1.5,1.875,1.625,1.875,2.25,1.5,2.0,2.125,1.625,1.5,1.625,2.0,1.675,2.125,2.25,2.25,1.85,2.0,2.0833333333333335,2.125,1.25,3.0416666666666665,1.5,1.625,2.125,1.8333333333333333,2.05,1.075,2.0,1.75,1.625,1.625,1.75,1.4,1.625,1.625,2.0,1.75,1.5,2.0,1.125,1.625,1.75,0.75,2.2916666666666665,1.8333333333333333,1.6666666666666667,1.75,1.9166666666666667,2.75,1.5,1.925,1.775,1.975,1.625,1.625,1.5,2.25,1.625,1.7916666666666667,1.5,2.0,2.125,1.75,1.475,1.75,2.05,1.5,1.5,1.5,1.5,1.5,1.4583333333333333,1.625,1.8,1.75,2.5,1.5,2.25,1.0,2.25,2.5833333333333335,1.825,2.0,1.0,1.65,1.75,1.4583333333333333,1.5,2.3333333333333335,1.75,1.875,1.375,1.75,1.375,1.85,1.65,1.625,1.375,1.625,1.75,1.75,2.625,1.875,1.25,1.5,1.875,1.5,1.5,1.5,0.875,2.625,2.25,1.425,1.525,2.0,1.375,2.0,2.1666666666666665,1.0,1.2083333333333333,1.875,1.875,1.5,1.5,1.6666666666666667,1.375,1.5,1.25,1.0833333333333333,1.075,1.5,1.5,1.925,1.125,2.4166666666666665,1.5,1.625,2.375,2.0,1.375,1.625,1.9166666666666667,1.625,2.625,2.0,1.75,1.675,1.375,2.25,1.375,1.9,1.7,1.75,1.5833333333333333,1.3333333333333333,1.775,1.875,1.25,1.925,1.375,1.75,1.6666666666666667,2.125,1.75,1.725,1.75,1.5416666666666667
O1 A1,0.0,0.0,0.875,0.75,0.5,2.125,1.375,1.25,1.75,1.625,1.5,1.5,1.5,1.5,2.0416666666666665,1.975,1.875,0.75,1.75,1.625,1.0,1.5,1.875,1.625,1.875,2.25,1.5,2.0,2.125,1.625,1.5,1.625,2.0,1.675,2.125,2.25,2.25,1.85,2.0,2.0833333333333335,2.125,1.25,3.0416666666666665,1.5,1.625,2.125,1.8333333333333333,2.05,1.075,2.0,1.75,1.625,1.625,1.75,1.4,1.625,1.625,2.0,1.75,1.5,2.0,1.125,1.625,1.75,0.75,2.2916666666666665,1.8333333333333333,1.6666666666666667,1.75,1.9166666666666667,2.75,1.5,1.925,1.775,1.975,1.625,1.625,1.5,2.25,1.625,1.7916666666666667,1.5,2.0,2.125,1.75,1.475,1.75,2.05,1.5,1.5,1.5,1.5,1.5,1.4583333333333333,1.625,1.8,1.75,2.5,1.5,2.25,1.0,2.25,2.5833333333333335,1.825,2.0,1.0,1.65,1.75,1.4583333333333333,1.5,2.3333333333333335,1.75,1.875,1.375,1.75,1.375,1.85,1.65,1.625,1.375,1.625,1.75,1.75,2.625,1.875,1.25,1.5,1.875,1.5,1.5,1.5,0.875,2.625,2.25,1.425,1.525,2.0,1.375,2.0,2.1666666666666665,1.0,1.2083333333333333,1.875,1.875,1.5,1.5,1.6666666666666667,1.375,1.5,1.25,1.0833333333333333,1.075,1.5,1.5,1.925,1.125,2.4166666666666665,1.5,1.625,2.375,2.0,1.375,1.625,1.9166666666666667,1.625,2.625,2.0,1.75,1.675,1.375,2.25,1.375,1.9,1.7,1.75,1.5833333333333333,1.3333333333333333,1.775,1.875,1.25,1.925,1.375,1.75,1.6666666666666667,2.125,1.75,1.725,1.75,1.5416666666666667
O1 B,0.875,0.875,0.0,0.25,0.875,2.3333333333333335,1.5,1.5,2.125,1.875,1.875,1.875,1.875,1.625,1.625,1.525,1.5,0.75,2.0,1.75,0.75,1.6666666666666667,1.75,1.625,1.75,1.875,1.375,1.75,2.0,1.625,1.375,1.625,2.125,1.175,1.875,2.0,2.5416666666666665,2.0,2.375,2.0416666666666665,2.5833333333333335,1.4166666666666667,3.0833333333333335,1.875,1.625,2.0,2.0,2.1,0.75,2.25,1.875,1.875,1.375,1.625,1.575,1.625,2.0,1.75,1.6666666666666667,1.6666666666666667,2.25,1.375,1.75,2.0,1.375,2.125,1.7083333333333333,2.0416666666666665,2.0,2.1666666666666665,2.5416666666666665,1.75,2.1,1.65,1.825,0.925,2.0,1.875,2.25,1.75,2.0416666666666665,1.4166666666666667,2.25,1.75,2.0,1.825,2.0,2.3,1.5,1.625,1.25,1.625,1.75,2.0416666666666665,1.75,2.05,1.875,3.0,1.75,1.75,1.0,2.5,2.6666666666666665,1.8,2.0,1.5,1.925,1.75,2.0416666666666665,1.625,2.4583333333333335,2.0,2.125,1.625,2.125,1.75,2.0,1.925,1.5,1.5,0.975,2.0,2.0,2.8333333333333335,2.25,1.5,1.375,1.5,1.625,1.875,1.625,1.25,2.7916666666666665,2.25,1.425,1.275,2.25,1.125,2.25,2.4166666666666665,1.25,1.2916666666666667,2.0,2.2916666666666665,1.5,1.75,1.9166666666666667,1.125,1.25,1.25,1.875,0.75,1.5,1.5,2.1,1.25,2.5833333333333335,1.625,1.875,2.7083333333333335,2.375,1.75,1.75,1.9166666666666667,1.75,2.8333333333333335,2.25,1.75,1.625,1.875,2.125,1.875,2.1,2.0,1.5,1.875,1.75,1.75,1.75,1.5,2.1,1.75,1.875,2.0416666666666665,2.25,1.75,1.925,2.0,1.7083333333333333
O1 C,0.75,0.75,0.25,0.0,0.75,2.0833333333333335,1.375,1.25,2.0,1.75,1.75,1.75,1.75,1.5,1.7916666666666667,1.725,1.625,0.5,1.875,1.625,0.875,1.4166666666666667,1.75,1.75,1.75,2.0,1.25,1.625,1.875,1.5,1.25,1.5,2.0,1.425,2.0,2.125,2.375,1.9,2.25,2.0416666666666665,2.3333333333333335,1.25,3.0833333333333335,1.625,1.5,1.875,2.0,2.1,0.75,2.2083333333333335,1.75,1.75,1.25,1.625,1.325,1.5,1.75,2.0,1.5833333333333333,1.4166666666666667,2.25,1.25,1.875,1.75,1.25,1.875,1.75,1.9166666666666667,1.75,2.1666666666666665,2.625,1.5,2.1,1.65,1.85,1.125,1.75,1.75,2.25,1.875,1.9166666666666667,1.2916666666666667,2.25,1.875,2.0,1.7,2.0,2.3,1.625,1.5,1.25,1.5,1.625,1.7916666666666667,1.75,2.05,1.75,2.75,1.5,2.0,0.75,2.5,2.6666666666666665,1.8,2.0,1.375,1.9,1.75,1.7916666666666667,1.5,2.3333333333333335,1.875,2.125,1.375,2.0,1.5,2.0,1.9,1.375,1.375,1.225,2.0,1.75,2.6666666666666665,2.125,1.25,1.25,1.625,1.5,1.75,1.5,1.125,2.6666666666666665,2.25,1.45,1.2,2.25,1.0,2.25,2.4166666666666665,1.125,1.1666666666666667,2.0,2.0833333333333335,1.5,1.625,1.9166666666666667,1.25,1.375,1.25,1.625,0.875,1.5,1.625,2.1,1.25,2.3333333333333335,1.5,1.75,2.4583333333333335,2.25,1.5,1.625,1.9166666666666667,1.75,2.6666666666666665,2.25,1.75,1.65,1.625,2.125,1.625,2.1,1.9,1.625,1.7083333333333333,1.5,1.85,1.875,1.25,2.1,1.75,1.875,1.9166666666666667,2.25,1.5,1.9,1.75,1.5833333333333333
O2,0.5,0.5,0.875,0.75,0.0,2.375,1.5,1.375,1.75,1.5,1.5,1.5,1.5,1.5,1.7916666666666667,1.825,1.75,1.0,1.875,1.75,1.0,1.5416666666666667,1.875,1.75,1.875,2.0,1.5,1.875,2.0,1.75,1.5,1.75,2.125,1.425,2.0,2.25,2.375,1.95,2.25,2.0416666666666665,2.2083333333333335,1.2916666666666667,3.0416666666666665,1.75,1.625,2.25,1.7916666666666667,2.05,0.85,2.0833333333333335,1.75,1.625,1.625,1.75,1.65,1.75,1.875,1.875,1.75,1.5416666666666667,2.0,1.25,1.625,2.0,0.75,2.375,1.7916666666666667,1.6666666666666667,2.0,1.9166666666666667,2.625,1.75,1.85,1.75,1.85,1.425,1.875,1.5,2.25,1.75,1.7916666666666667,1.5416666666666667,2.0,1.875,1.75,1.5,1.75,2.05,1.625,1.75,1.625,1.75,1.75,1.7083333333333333,1.75,1.8,1.625,2.75,1.625,2.125,1.125,2.25,2.5833333333333335,1.65,2.0,1.125,1.65,1.875,1.7083333333333333,1.625,2.3333333333333335,1.75,1.875,1.5,1.75,1.625,1.85,1.65,1.75,1.5,1.425,1.875,2.0,2.7916666666666665,2.125,1.375,1.5416666666666667,1.75,1.5,1.5,1.5,1.125,2.625,2.25,1.3,1.3,2.0,1.125,2.0,2.1666666666666665,1.0,1.1666666666666667,2.0,2.0,1.5,1.5,1.6666666666666667,1.125,1.25,1.375,1.25,1.025,1.625,1.375,1.85,1.375,2.6666666666666665,1.625,1.5,2.4583333333333335,2.2083333333333335,1.625,1.625,1.9166666666666667,1.75,2.7916666666666665,2.0,2.0,1.6,1.5,2.375,1.5,2.0,1.9,1.625,1.7083333333333333,1.4583333333333333,1.65,1.625,1.375,1.85,1.25,1.75,1.6666666666666667,2.25,1.75,1.65,2.0,1.4166666666666667
O3,2.125,2.125,2.3333333333333335,2.0833333333333335,2.375,0.0,2.5833333333333335,2.2083333333333335,2.5,2.5833333333333335,2.5,2.375,2.5,2.4583333333333335,3.0,2.933333333333333,2.8333333333333335,1.8333333333333333,2.4583333333333335,2.5833333333333335,2.3333333333333335,2.3333333333333335,2.5833333333333335,2.8333333333333335,2.8333333333333335,2.8333333333333335,1.9583333333333333,1.875,2.125,1.9583333333333333,1.9583333333333333,1.9583333333333333,1.625,3.1333333333333333,2.6666666666666665,2.25,2.1666666666666665,2.3333333333333335,1.625,2.6666666666666665,2.0,2.0,2.8333333333333335,2.3333333333333335,2.5833333333333335,1.7083333333333333,2.3333333333333335,2.6,2.533333333333333,2.0,2.25,2.2083333333333335,2.3333333333333335,2.25,1.6333333333333333,2.2083333333333335,2.2083333333333335,2.5833333333333335,2.6666666666666665,2.3333333333333335,2.8333333333333335,1.875,2.75,2.3333333333333335,2.0,2.0,2.5,2.1666666666666665,2.4583333333333335,2.6666666666666665,2.6666666666666665,2.0833333333333335,2.8,2.7333333333333334,2.7333333333333334,2.7333333333333334,1.9583333333333333,2.5,2.375,2.5,2.1666666666666665,1.5,2.75,3.0833333333333335,2.25,2.433333333333333,2.375,2.6,2.0833333333333335,2.25,2.3333333333333335,2.25,2.0833333333333335,1.8333333333333333,2.5833333333333335,2.4,2.2083333333333335,3.0,2.0833333333333335,2.5,2.0833333333333335,3.0,2.0,2.7333333333333334,2.5,2.0,2.6,2.375,1.8333333333333333,1.9583333333333333,1.8333333333333333,2.0,2.25,2.0,2.5,1.7083333333333333,2.6333333333333333,2.4,2.0833333333333335,2.25,2.533333333333333,2.5,2.5833333333333335,2.1666666666666665,2.125,2.3333333333333335,2.0,2.8333333333333335,2.375,2.625,2.375,2.2083333333333335,2.3333333333333335,3.0833333333333335,2.433333333333333,2.433333333333333,2.8333333333333335,2.3333333333333335,2.6666666666666665,2.5,2.3333333333333335,2.5833333333333335,2.25,2.0,2.4583333333333335,2.375,2.3333333333333335,2.7083333333333335,2.8333333333333335,2.5833333333333335,2.0,2.533333333333333,2.0416666666666665,2.2083333333333335,2.8,2.4583333333333335,1.6666666666666667,2.0,2.5833333333333335,2.0,2.3333333333333335,1.7083333333333333,2.125,2.6666666666666665,2.5833333333333335,2.1666666666666665,2.8333333333333335,2.125,2.533333333333333,2.125,2.4583333333333335,1.9166666666666667,2.7333333333333334,2.533333333333333,2.2083333333333335,2.3333333333333335,2.0,2.6333333333333333,2.8333333333333335,2.3333333333333335,2.8,2.75,2.2083333333333335,1.8333333333333333,2.5833333333333335,2.5833333333333335,2.6,2.5833333333333335,2.5
O4,1.375,1.375,1.5,1.375,1.5,2.5833333333333335,0.0,0.5,1.625,1.375,2.0,1.875,2.0,1.75,1.4166666666666667,1.35,1.25,1.375,1.75,0.5,1.25,0.75,1.25,0.75,0.75,1.625,1.125,1.625,1.625,1.375,1.125,1.375,1.875,1.1,1.75,2.5,2.5833333333333335,1.275,2.0,2.125,1.8333333333333333,0.875,3.2083333333333335,1.25,1.125,1.75,2.0833333333333335,1.55,1.425,2.3333333333333335,2.125,1.75,1.625,1.25,1.65,1.5,2.0,1.75,1.25,1.0,1.5,1.5,1.5,1.5,1.5,2.3333333333333335,2.0833333333333335,2.0416666666666665,1.75,1.6666666666666667,2.7083333333333335,1.625,1.6,1.275,1.95,1.1,2.0,1.375,2.125,1.75,1.8333333333333333,1.75,1.75,1.25,1.5,1.7,1.75,1.35,1.5,1.75,1.75,1.75,1.5,1.9166666666666667,1.25,1.55,1.75,3.25,1.25,2.25,1.25,1.75,2.7083333333333335,1.15,1.75,2.0,1.5,1.25,1.6666666666666667,1.25,2.2916666666666665,1.875,2.0,1.75,1.625,1.75,1.2,1.325,1.25,1.625,1.3,1.5,1.25,2.4583333333333335,2.125,1.5,1.6666666666666667,1.25,1.75,1.75,1.75,1.125,2.7083333333333335,1.5,0.875,1.325,1.5,1.125,1.75,2.2083333333333335,0.875,1.4166666666666667,2.0,2.4583333333333335,1.375,1.625,1.4166666666666667,1.625,1.25,0.875,1.25,1.325,1.5,1.625,1.6,1.5,2.6666666666666665,1.5,1.375,2.3333333333333335,2.4583333333333335,1.75,1.875,1.4166666666666667,1.25,2.4583333333333335,1.75,1.75,1.575,1.75,2.0,1.75,1.4,1.075,1.5,1.9166666666666667,1.7916666666666667,1.275,1.5,0.5,1.6,1.375,1.5,2.0416666666666665,2.0,1.25,1.425,1.0,1.2083333333333333
O4.2,1.25,1.25,1.5,1.25,1.375,2.2083333333333335,0.5,0.0,2.0,1.75,1.875,1.625,1.875,1.5,1.9166666666666667,1.85,1.75,1.25,1.5,1.0,1.125,1.125,1.0,1.25,1.25,1.625,1.125,1.5,1.5,1.25,1.125,1.25,1.625,1.6,2.25,2.375,2.3333333333333335,1.7,1.625,1.875,1.625,1.25,2.9583333333333335,1.625,1.625,1.625,1.9583333333333333,2.05,1.4,2.3333333333333335,2.0,1.625,1.5,1.75,1.625,1.375,1.75,1.625,1.625,1.375,2.0,1.375,1.875,1.875,1.125,2.1666666666666665,1.9583333333333333,1.7916666666666667,1.5,2.1666666666666665,2.4166666666666665,1.5,2.1,1.65,1.625,1.6,1.625,1.75,1.875,1.625,1.5833333333333333,1.75,2.25,1.75,2.0,1.75,1.875,1.85,1.375,1.625,1.625,1.625,1.875,1.6666666666666667,1.75,2.05,1.75,3.125,1.625,1.875,1.125,2.25,2.4583333333333335,1.65,2.25,1.875,1.9,1.75,1.5,1.75,2.125,1.625,1.75,1.5,2.0,1.625,1.7,1.7,1.625,1.5,1.5,2.0,1.625,2.1666666666666665,1.75,1.375,1.625,1.75,1.625,1.625,1.625,0.875,2.4583333333333335,2.0,1.25,1.375,2.0,1.125,2.25,2.2083333333333335,1.25,1.4166666666666667,2.0,2.2083333333333335,1.375,1.5,1.9166666666666667,1.5,1.75,1.25,1.625,1.5,1.625,1.625,2.1,1.25,2.5416666666666665,1.25,1.75,2.0416666666666665,2.2916666666666665,1.625,1.875,1.9166666666666667,1.75,2.1666666666666665,2.25,1.75,1.65,1.5,2.125,1.5,1.9,1.55,1.5,1.6666666666666667,1.6666666666666667,1.65,2.0,0.875,2.1,1.75,1.25,1.7916666666666667,2.125,1.625,1.9,1.375,1.5833333333333333
O5 ab,1.75,1.75,2.125,2.0,1.75,2.5,1.625,2.0,0.0,0.25,1.25,1.25,1.25,1.5,1.6666666666666667,1.7,1.625,2.0,1.5,1.625,2.125,1.25,2.125,1.625,1.625,2.25,2.0,2.5,2.5,1.875,2.0,1.875,2.25,1.8,1.25,2.0,2.25,1.4,1.875,2.3333333333333335,2.5,1.1666666666666667,3.1666666666666665,1.5,1.625,2.375,1.8333333333333333,1.3,1.9,2.5,1.25,1.75,1.75,1.125,1.7,2.125,1.75,2.125,1.5,1.5,1.25,1.5,1.375,1.5,1.5,2.5833333333333335,2.3333333333333335,1.6666666666666667,2.0,1.0833333333333333,3.0,1.75,1.0,1.5,2.4,1.7,1.0,0.5,2.625,1.75,1.8333333333333333,1.8333333333333333,1.0,1.75,1.25,1.4,1.5,1.25,1.875,1.375,1.5,1.375,1.25,1.8333333333333333,0.875,1.1,2.0,3.5,1.25,2.625,2.0,1.25,2.3333333333333335,1.4,1.125,2.125,0.7,1.375,1.8333333333333333,1.25,2.3333333333333335,1.375,1.125,1.25,0.5,1.75,1.3,0.7,1.5,1.75,2.0,1.25,1.5,2.4166666666666665,1.875,1.75,2.1666666666666665,1.125,1.5,1.25,1.5,2.125,2.5,1.5,1.4,1.9,1.25,2.125,1.25,2.1666666666666665,1.25,1.75,2.0,2.5,1.75,1.5,1.3333333333333333,1.625,1.5,1.5,1.1666666666666667,2.0,2.0,2.0,0.95,1.75,2.4166666666666665,1.75,1.0,2.25,2.3333333333333335,1.75,1.5,1.6666666666666667,1.375,2.4166666666666665,1.25,1.625,1.9,1.625,2.5,1.625,1.25,1.4,2.0,1.5833333333333333,1.5833333333333333,1.4,1.25,1.5,0.9,1.375,1.875,1.6666666666666667,2.0,1.25,0.6,1.5,1.3333333333333333
O5 ac,1.625,1.625,1.875,1.75,1.5,2.5833333333333335,1.375,1.75,0.25,0.0,1.375,1.375,1.375,1.375,1.4166666666666667,1.45,1.375,1.875,1.625,1.375,1.875,1.0416666666666667,1.875,1.375,1.375,2.0,1.75,2.25,2.25,1.875,1.75,1.875,2.375,1.55,1.25,2.0,2.25,1.45,1.875,2.1666666666666665,2.5833333333333335,1.25,3.1666666666666665,1.5,1.375,2.375,1.9166666666666667,1.55,1.65,2.4166666666666665,1.5,1.75,1.625,1.125,1.7,1.875,1.75,1.875,1.25,1.25,1.375,1.75,1.25,1.5,1.625,2.5416666666666665,2.1666666666666665,1.9166666666666667,2.0,1.2083333333333333,2.75,1.75,1.05,1.25,2.15,1.45,1.25,0.75,2.375,1.75,1.9166666666666667,1.9166666666666667,1.25,1.5,1.5,1.45,1.75,1.5,1.75,1.375,1.25,1.375,1.25,1.9166666666666667,0.875,1.35,1.875,3.5,1.25,2.375,1.75,1.5,2.5833333333333335,1.35,1.375,2.125,0.95,1.375,1.9166666666666667,1.375,2.5833333333333335,1.625,1.375,1.5,0.75,1.75,1.25,0.95,1.5,1.5,1.75,1.375,1.5,2.4166666666666665,1.875,1.5,1.9166666666666667,0.875,1.625,1.375,1.625,1.875,2.5833333333333335,1.5,1.15,1.7,1.375,1.875,1.5,2.4166666666666665,1.0,1.5,2.0,2.5,1.5,1.5,1.4166666666666667,1.375,1.25,1.25,1.25,1.75,1.875,1.75,1.0,1.5,2.4583333333333335,1.75,0.75,2.3333333333333335,2.5833333333333335,1.75,1.625,1.6666666666666667,1.25,2.4166666666666665,1.25,1.75,1.65,1.75,2.25,1.75,1.325,1.4,1.75,1.625,1.625,1.15,1.25,1.25,1.05,1.25,1.875,1.9166666666666667,1.875,1.0,0.6,1.5,1.0833333333333333
