,O1 A,O1 A1,O1 B,O1 C,O2,O3,O4,O4.2,O5 ab,O5 ac,O6,O6.2,O6.3,O7,O8,O9,O9 a,O10,O11,O12,O13,O15,O16,O16.2,O16.3,O17,O18 A,O18 A1,O18 A1A2,O18 ab,O18 ac,O18 B,O18 B1,O19 ab,O20 ab,O20 ac,O21,O22,O23 A,O24,O25,O26,O27,O28 ab,O28 ac,O29,O30,O32,O35,O36,O37,O38,O39,O40,O41,O42,O43,O44,O45,O45 rel,O46,O48,O49,O52,O53,O55,O56,O58,O59,O61,O62,O64,O65,O66,O68,O69,O70,O71,O73,O73 ab,O74,O75,O76,O77,O78,O79,O82,O83,O85,O86,O86.2,O86.3,O87,O88,O90,O91,O96,O97,O98,O99,O100,O101,O102,O103,O104,O105,O107,O108,O109,O110,O111,O112 ab,O112 ac,O113,O114,O115,O116,O117,O118,O119,O120,O121,O123,O124,O125 ab,O126,O126.2,O127,O128 ab,O128 ab.2,O128 ac,O129,O130,O131,O132,O133,O134,O135,O136,O137,O138,O139,O140,O141,O142,O143,O145,O146,O147,O148,O149,O150,O151,O152,O153,O154,O155,O156,O157,O158 ab,O158 ac,O159,O160,O161,O163,O164,O165,O166,O167,O168,O169,O170,O171,O172,O173,O174 ab,O174 ac,O175,O176,O177,O178,O180,O181,O182,O183,O184,O185,O186,O187
O1 A,0.0,0.0,0.53125,0.40625,0.3125,1.25,1.21875,1.21875,1.4375,1.25,1.4375,1.4375,1.4375,1.03125,1.375,1.1875,1.1875,0.59375,1.5,1.28125,0.78125,1.1458333333333333,1.6875,1.03125,1.375,1.78125,1.21875,1.5,1.6875,1.28125,1.21875,1.28125,1.4375,1.1625,1.9375,1.78125,1.6145833333333333,1.4625,1.53125,1.9791666666666667,1.0833333333333333,0.8854166666666666,2.1770833333333335,1.34375,1.21875,1.625,1.5416666666666667,1.9125,0.5,1.0208333333333333,1.65625,1.53125,1.21875,1.28125,1.075,1.34375,1.375,1.65625,1.25,1.1458333333333333,1.75,0.9375,1.125,1.375,0.625,1.5,1.7291666666666667,1.125,1.5625,1.6458333333333333,2.1041666666666665,1.375,1.35,1.25,1.16875,1.025,1.40625,1.125,1.71875,1.3125,1.4270833333333333,1.03125,1.5,1.5,1.125,1.01875,1.46875,1.9125,1.5,1.375,1.3125,1.375,1.3125,1.125,1.25,1.1875,1.5,1.875,1.125,1.625,0.96875,2.25,1.75,1.25625,1.625,0.71875,1.1625,1.46875,1.125,1.09375,1.5,1.21875,1.40625,1.125,1.4375,0.84375,1.34375,1.1625,1.28125,1.15625,1.175,1.34375,1.5,2.0625,1.53125,1.21875,1.375,1.1875,1.5,1.5,1.5,0.71875,2.0833333333333335,2.0625,0.89375,0.8875,1.75,1.0625,1.75,1.8333333333333333,0.75,0.8333333333333334,1.40625,0.8645833333333334,1.21875,1.46875,1.3541666666666667,1.0625,1.0625,0.75,0.7291666666666666,0.65,1.25,1.0625,1.35,0.75,1.8333333333333333,1.25,1.25,1.375,1.0833333333333333,1.0625,1.59375,1.75,1.25,2.0625,1.75,1.53125,1.5,1.125,1.8125,1.0,1.5625,1.4375,1.3125,1.40625,1.1145833333333333,1.3,1.25,0.84375,1.46875,0.71875,1.40625,0.9583333333333334,1.6875,1.25,1.3,1.5,1.1979166666666667
O1 A1,0.0,0.0,0.53125,0.40625,0.3125,1.25,1.21875,1.21875,1.4375,1.25,1.4375,1.4375,1.4375,1.03125,1.375,1.1875,1.1875,0.59375,1.5,1.28125,0.78125,1.1458333333333333,1.6875,1.03125,1.375,1.78125,1.21875,1.5,1.6875,1.28125,1.21875,1.28125,1.4375,1.1625,1.9375,1.78125,1.6145833333333333,1.4625,1.53125,1.9791666666666667,1.0833333333333333,0.8854166666666666,2.1770833333333335,1.34375,1.21875,1.625,1.5416666666666667,1.9125,0.5,1.0208333333333333,1.65625,1.53125,1.21875,1.28125,1.075,1.34375,1.375,1.65625,1.25,1.1458333333333333,1.75,0.9375,1.125,1.375,0.625,1.5,1.7291666666666667,1.125,1.5625,1.6458333333333333,2.1041666666666665,1.375,1.35,1.25,1.16875,1.025,1.40625,1.125,1.71875,1.3125,1.4270833333333333,1.03125,1.5,1.5,1.125,1.01875,1.46875,1.9125,1.5,1.375,1.3125,1.375,1.3125,1.125,1.25,1.1875,1.5,1.875,1.125,1.625,0.96875,2.25,1.75,1.25625,1.625,0.71875,1.1625,1.46875,1.125,1.09375,1.5,1.21875,1.40625,1.125,1.4375,0.84375,1.34375,1.1625,1.28125,1.15625,1.175,1.34375,1.5,2.0625,1.53125,1.21875,1.375,1.1875,1.5,1.5,1.5,0.71875,2.0833333333333335,2.0625,0.89375,0.8875,1.75,1.0625,1.75,1.8333333333333333,0.75,0.8333333333333334,1.40625,0.8645833333333334,1.21875,1.46875,1.3541666666666667,1.0625,1.0625,0.75,0.7291666666666666,0.65,1.25,1.0625,1.35,0.75,1.8333333333333333,1.25,1.25,1.375,1.0833333333333333,1.0625,1.59375,1.75,1.25,2.0625,1.75,1.53125,1.5,1.125,1.8125,1.0,1.5625,1.4375,1.3125,1.40625,1.1145833333333333,1.3,1.25,0.84375,1.46875,0.71875,1.40625,0.9583333333333334,1.6875,1.25,1.3,1.5,1.1979166666666667
O1 B,0.53125,0.53125,0.0,0.125,0.75,1.5416666666666667,0.96875,1.125,2.0,1.4375,1.625,1.5625,1.625,1.3125,1.1875,1.125,1.125,0.5,1.8125,1.25,0.5,1.1041666666666667,1.75,1.25,1.375,1.59375,1.0,1.28125,1.53125,1.5,1.0,1.5,1.78125,0.66875,1.5625,1.28125,1.8958333333333333,1.7125,1.75,1.7916666666666667,1.5833333333333333,1.1666666666666667,2.03125,1.5,1.1875,1.71875,1.7291666666666667,2.2875,0.4125,1.0104166666666667,1.9375,1.90625,1.25,1.28125,1.2375,1.3125,1.6875,1.65625,1.25,1.1041666666666667,2.1875,1.28125,1.53125,1.5625,1.15625,1.1770833333333333,1.25,1.7083333333333333,1.6875,2.125,1.9166666666666667,1.46875,1.6625,1.25,1.3125,0.48125,1.84375,1.6875,1.78125,1.375,1.7083333333333333,1.3541666666666667,2.1875,1.3125,1.84375,1.375,2.09375,2.4875,1.28125,1.3125,1.0,1.3125,1.53125,1.5416666666666667,1.375,1.925,1.59375,2.5,1.4375,1.4375,0.90625,2.6875,1.96875,1.2375,2.0625,1.15625,1.775,1.6875,1.5416666666666667,1.34375,1.8958333333333333,1.71875,1.96875,1.40625,2.0,1.46875,1.4875,1.775,1.28125,1.3125,0.63125,1.84375,1.6875,2.3541666666666665,1.71875,1.125,0.8541666666666666,1.125,1.46875,1.625,1.46875,0.8125,2.3125,2.1875,0.8875,0.775,2.1875,0.84375,2.4375,2.5625,0.8125,0.875,1.59375,1.28125,1.125,1.53125,1.8333333333333333,1.0,0.84375,0.8125,1.5,0.45,1.4375,1.40625,1.6625,0.9375,1.875,1.46875,1.4375,1.8125,1.7083333333333333,1.46875,1.75,1.8333333333333333,1.375,2.3541666666666665,2.1875,1.59375,1.4625,1.625,1.84375,1.5,1.9125,1.7875,1.40625,1.5208333333333333,1.2916666666666667,1.4125,1.3125,0.75,1.825,1.21875,1.78125,1.5416666666666667,1.9375,1.25,1.5125,1.6875,1.2291666666666667
O1 C,0.40625,0.40625,0.125,0.0,0.75,1.375,1.03125,1.0625,1.875,1.4375,1.6875,1.625,1.6875,1.1875,1.25,1.125,1.125,0.28125,1.6875,1.1875,0.59375,1.0416666666666667,1.6875,1.0625,1.3125,1.65625,1.0,1.28125,1.53125,1.3125,1.0,1.3125,1.59375,0.8375,1.875,1.28125,1.8958333333333333,1.5,1.625,1.8541666666666667,1.4166666666666667,1.0,2.1458333333333335,1.3125,1.125,1.5625,1.7916666666666667,2.2875,0.35,1.0833333333333333,1.84375,1.84375,1.0625,1.15625,1.0875,1.25,1.5625,1.71875,1.1875,1.0416666666666667,2.0625,1.09375,1.46875,1.375,1.125,1.1041666666666667,1.5,1.5833333333333333,1.5625,2.0,1.9791666666666667,1.34375,1.6625,1.1875,1.19375,0.675,1.71875,1.53125,1.71875,1.375,1.5833333333333333,1.1458333333333333,2.0625,1.375,1.71875,1.25625,2.03125,2.4875,1.34375,1.1875,1.125,1.1875,1.3125,1.4166666666666667,1.3125,1.8,1.59375,2.25,1.25,1.5,0.71875,2.6875,1.8958333333333333,1.3,1.96875,1.0,1.625,1.46875,1.4166666666666667,1.09375,1.7291666666666667,1.59375,1.84375,1.25,1.875,1.34375,1.4875,1.625,1.0625,1.125,0.825,1.65625,1.5,2.2291666666666665,1.59375,1.125,1.0,1.125,1.4375,1.6875,1.4375,0.65625,2.2083333333333335,2.0625,0.8875,0.825,2.0625,0.875,2.4375,2.5625,0.78125,0.7916666666666666,1.625,1.1145833333333333,1.1875,1.53125,1.7083333333333333,0.96875,1.0,0.71875,1.3125,0.475,1.34375,1.34375,1.6625,0.75,1.7083333333333333,1.3125,1.4375,1.6458333333333333,1.5416666666666667,1.34375,1.65625,1.7083333333333333,1.3125,2.2291666666666665,2.0625,1.4375,1.4625,1.5,1.75,1.375,1.725,1.6,1.34375,1.5208333333333333,1.2916666666666667,1.4125,1.375,0.6875,1.825,1.21875,1.65625,1.4166666666666667,1.875,1.1875,1.5125,1.5,1.2291666666666667
O2,0.3125,0.3125,0.75,0.75,0.0,1.3125,1.1875,1.25,1.5,1.1875,1.375,1.375,1.375,1.15625,1.3125,1.2125,1.21875,0.65625,1.65625,1.34375,0.6875,1.1875,1.8125,1.15625,1.4375,1.75,1.125,1.40625,1.625,1.4375,1.125,1.4375,1.5625,0.9,1.8125,1.90625,1.6875,1.575,1.625,1.9583333333333333,1.2291666666666667,0.9895833333333334,2.2916666666666665,1.5,1.25,1.75,1.4791666666666667,1.9125,0.4375,0.8958333333333334,1.71875,1.625,1.375,1.21875,1.1875,1.40625,1.53125,1.625,1.2916666666666667,1.1875,1.84375,1.0625,1.21875,1.5625,0.5625,1.5833333333333333,1.6666666666666667,1.2291666666666667,1.78125,1.75,2.0833333333333335,1.53125,1.2875,1.275,1.30625,0.875,1.53125,1.21875,1.78125,1.34375,1.53125,1.1354166666666667,1.5625,1.46875,1.1875,1.10625,1.53125,1.9125,1.5625,1.4375,1.34375,1.4375,1.4375,1.2708333333333333,1.28125,1.25,1.46875,2.0,1.21875,1.5625,1.09375,2.25,1.7916666666666667,1.19375,1.71875,0.6875,1.25,1.59375,1.2708333333333333,1.1875,1.6041666666666667,1.28125,1.5,1.25,1.5,0.9375,1.28125,1.25,1.4375,1.28125,1.025,1.4375,1.6875,2.2083333333333335,1.625,1.25,1.3125,1.21875,1.46875,1.46875,1.46875,0.78125,2.2291666666666665,2.1875,0.83125,0.825,1.84375,1.0,1.75,1.8333333333333333,0.71875,0.8333333333333334,1.34375,1.0104166666666667,1.125,1.40625,1.4583333333333333,0.9375,0.8125,0.8125,0.8333333333333334,0.5625,1.375,1.0625,1.2875,0.84375,1.9791666666666667,1.40625,1.1875,1.5208333333333333,1.1875,1.15625,1.71875,1.8541666666666667,1.28125,2.2083333333333335,1.84375,1.6875,1.4625,1.25,1.84375,1.125,1.675,1.575,1.3125,1.4791666666666667,1.1875,1.2375,1.1875,0.84375,1.5,0.65625,1.53125,1.0625,1.71875,1.3125,1.2375,1.6875,1.1354166666666667
O3,1.25,1.25,1.5416666666666667,1.375,1.3125,0.0,1.625,1.5208333333333333,1.5833333333333333,1.7083333333333333,1.8645833333333333,1.6875,1.8645833333333333,1.75,2.4583333333333335,2.183333333333333,2.1145833333333335,1.2291666666666667,1.75,1.8229166666666667,1.7291666666666667,1.6666666666666667,1.90625,1.9166666666666667,1.9166666666666667,2.34375,0.90625,1.0625,1.4791666666666667,1.1666666666666667,0.90625,1.1666666666666667,1.0,2.3666666666666667,2.0416666666666665,1.4791666666666667,1.75,1.05,1.0729166666666667,2.3333333333333335,1.625,1.0416666666666667,2.5416666666666665,1.6666666666666667,1.8229166666666667,1.2291666666666667,1.5833333333333333,1.5166666666666666,1.6583333333333334,1.625,1.5729166666666667,1.3333333333333333,1.53125,0.9166666666666666,0.7,1.5833333333333333,1.625,1.8541666666666667,2.0,1.6666666666666667,1.8645833333333333,0.9583333333333334,1.5416666666666667,1.8333333333333333,1.15625,1.75,2.0,1.25,1.9166666666666667,1.75,2.5416666666666665,1.4895833333333333,1.5166666666666666,2.033333333333333,2.1,2.025,1.1666666666666667,1.5833333333333333,1.75,1.75,1.5416666666666667,0.7083333333333334,1.4166666666666667,2.5208333333333335,0.8958333333333334,1.7,1.03125,1.4666666666666666,1.25,1.53125,1.8958333333333333,1.53125,1.2083333333333333,1.25,1.625,0.9333333333333333,1.4791666666666667,3.0416666666666665,1.0833333333333333,2.34375,1.5208333333333333,2.3333333333333335,1.6666666666666667,1.625,1.3958333333333333,1.2916666666666667,1.4166666666666667,1.4895833333333333,1.1666666666666667,0.5729166666666666,1.125,0.75,1.1666666666666667,1.03125,1.5833333333333333,0.875,1.3333333333333333,1.15,1.3229166666666667,1.4583333333333333,1.6583333333333334,1.3333333333333333,1.9583333333333333,1.9583333333333333,1.71875,1.78125,1.6666666666666667,2.1145833333333335,1.6979166666666667,1.9895833333333333,1.6979166666666667,1.5833333333333333,2.0416666666666665,2.5208333333333335,1.2083333333333333,1.675,1.8645833333333333,1.8125,1.5,1.75,1.375,1.75,1.4479166666666667,1.625,1.4895833333333333,1.65625,1.25,1.875,1.8645833333333333,1.7604166666666667,1.0833333333333333,1.6833333333333333,1.3333333333333333,1.2395833333333333,1.5166666666666666,1.9166666666666667,1.4583333333333333,1.2395833333333333,1.7083333333333333,1.75,1.625,0.875,1.5625,1.9583333333333333,1.625,1.9583333333333333,1.8645833333333333,1.5520833333333333,1.6166666666666667,1.25,1.9375,1.125,1.725,1.5333333333333334,1.1770833333333333,1.75,1.3333333333333333,1.5166666666666666,1.8645833333333333,1.6666666666666667,1.5166666666666666,1.5416666666666667,1.3645833333333333,1.0833333333333333,1.9479166666666667,1.9583333333333333,1.6833333333333333,1.7604166666666667,1.4583333333333333
O4,1.21875,1.21875,0.96875,1.03125,1.1875,1.625,0.0,0.15625,1.6875,1.375,1.625,1.375,1.625,1.28125,1.2291666666666667,1.1125,1.09375,1.03125,1.375,0.5,0.71875,0.5416666666666666,0.875,0.75,0.75,1.03125,0.6875,0.71875,0.9375,1.09375,0.6875,1.09375,1.28125,0.6875,1.9375,1.71875,1.59375,1.26875,0.9375,1.7083333333333333,0.8645833333333334,0.8125,1.8958333333333333,1.21875,1.15625,1.03125,1.5520833333333333,1.8625,0.85625,1.15625,1.9375,1.53125,1.34375,1.34375,1.2625,1.0625,1.4375,1.3125,1.125,0.8333333333333334,1.375,1.34375,1.5625,1.25,1.3125,1.3333333333333333,1.65625,1.5,1.25,1.8541666666666667,1.8333333333333333,1.0,1.675,1.125,1.10625,0.7875,1.46875,1.5625,1.15625,1.15625,1.3541666666666667,1.4583333333333333,1.9375,1.09375,1.59375,1.35625,1.84375,1.6375,1.21875,1.40625,1.21875,1.40625,1.375,1.3333333333333333,1.28125,1.6875,1.53125,2.625,1.15625,1.375,1.09375,1.9375,1.7395833333333333,1.08125,1.9375,1.46875,1.6625,1.3125,1.1458333333333333,1.40625,1.4166666666666667,1.40625,1.625,1.40625,1.6875,1.3125,1.20625,1.53125,1.15625,1.34375,0.9125,1.5625,1.125,1.4479166666666667,1.3125,0.96875,1.1041666666666667,1.09375,1.46875,1.46875,1.46875,0.75,2.0,1.59375,0.94375,0.7625,1.375,0.59375,2.2083333333333335,2.25,0.96875,1.1458333333333333,1.53125,1.4166666666666667,0.875,1.4375,1.6041666666666667,1.125,1.0,0.875,1.2291666666666667,0.79375,1.28125,1.375,1.675,1.1875,1.6875,1.21875,1.375,1.1458333333333333,1.5833333333333333,1.3125,1.53125,1.6041666666666667,1.28125,1.4479166666666667,1.9375,1.40625,1.4,1.40625,1.5,1.3125,1.4,1.0375,1.28125,1.1770833333333333,1.0520833333333333,1.31875,1.375,0.34375,1.74375,1.4375,1.21875,1.375,1.65625,1.125,1.475,0.875,1.125
O4.2,1.21875,1.21875,1.125,1.0625,1.25,1.5208333333333333,0.15625,0.0,1.8125,1.5,1.84375,1.59375,1.84375,1.28125,1.4166666666666667,1.2375,1.21875,0.875,1.4375,0.6875,0.65625,0.6041666666666666,0.90625,0.71875,0.875,1.1875,0.875,0.8125,1.03125,1.09375,0.875,1.09375,1.21875,0.83125,2.25,1.8125,1.7083333333333333,1.30625,1.03125,1.75,0.84375,0.7916666666666666,1.9375,1.21875,1.21875,1.09375,1.7291666666666667,2.15,0.71875,1.3541666666666667,2.09375,1.625,1.34375,1.4375,1.3,0.96875,1.5,1.4375,1.1875,0.8958333333333334,1.5625,1.34375,1.59375,1.25,1.25,1.4583333333333333,1.8333333333333333,1.5625,1.3125,1.9375,1.875,1.125,1.75,1.1875,0.91875,0.99375,1.46875,1.625,1.15625,1.125,1.4166666666666667,1.3958333333333333,2.0,1.34375,1.6875,1.36875,1.9375,1.8,1.3125,1.46875,1.34375,1.46875,1.375,1.3958333333333333,1.34375,1.7625,1.625,2.4375,1.15625,1.40625,0.96875,2.25,2.0,1.325,2.0,1.28125,1.7125,1.28125,1.1041666666666667,1.375,1.5729166666666667,1.4375,1.65625,1.46875,1.8125,1.34375,1.425,1.55,1.15625,1.34375,1.11875,1.53125,1.1875,1.5729166666666667,1.1875,1.09375,1.2916666666666667,1.21875,1.5625,1.5625,1.5625,0.4375,2.0833333333333335,1.6875,0.9625,0.7375,1.5625,0.65625,2.4375,2.4166666666666665,0.96875,1.0208333333333333,1.6875,1.3958333333333333,1.0625,1.53125,1.6875,1.15625,1.28125,0.71875,1.2291666666666667,0.81875,1.375,1.375,1.75,0.96875,1.7708333333333333,1.28125,1.5,1.09375,1.5625,1.34375,1.75,1.6875,1.34375,1.5729166666666667,2.0,1.46875,1.5,1.46875,1.65625,1.375,1.4375,0.925,1.25,1.3333333333333333,1.2083333333333333,1.3875,1.5625,0.34375,1.9375,1.46875,1.3125,1.4375,1.78125,1.1875,1.6,0.875,1.25
O5 ab,1.4375,1.4375,2.0,1.875,1.5,1.5833333333333333,1.6875,1.8125,0.0,0.375,1.0625,1.0625,1.0625,1.09375,1.875,1.6,1.53125,1.5625,1.15625,1.53125,2.09375,1.1875,1.84375,1.53125,1.53125,2.25,1.53125,1.84375,1.84375,1.375,1.53125,1.375,1.5,1.975,1.375,1.4375,1.2083333333333333,1.2,1.21875,2.2916666666666665,1.6666666666666667,1.0416666666666667,2.375,1.375,1.53125,1.6875,1.4583333333333333,1.2875,1.7,1.6666666666666667,1.0625,1.34375,1.34375,1.0625,1.2,1.6875,1.21875,1.8125,1.4166666666666667,1.4166666666666667,1.25,1.15625,1.21875,1.25,1.3125,1.8125,2.2916666666666665,1.2083333333333333,1.53125,0.9583333333333334,2.7083333333333335,1.25,0.875,1.45,1.925,1.6,0.5,0.5,1.96875,1.28125,1.4166666666666667,1.25,0.8125,1.9375,1.0625,1.14375,1.15625,1.125,1.625,1.0,1.125,1.0,1.0625,1.25,0.84375,0.88125,1.65625,2.75,1.0625,2.40625,1.6875,1.375,1.5833333333333333,1.225,1.0625,1.28125,0.575,1.21875,1.25,1.0625,1.625,0.9375,0.6875,0.71875,0.5,1.21875,1.13125,0.575,1.375,1.34375,1.7,1.0625,1.375,1.7395833333333333,1.03125,1.5,2.0833333333333335,0.96875,1.375,1.125,1.375,1.6875,1.8333333333333333,1.5625,1.3,1.45,1.25,1.84375,1.1875,1.625,1.1875,1.375,1.28125,1.6666666666666667,1.03125,1.25,1.25,1.25,1.375,1.375,1.0416666666666667,1.725,1.65625,1.65625,0.74375,1.34375,1.5104166666666667,1.34375,1.03125,1.40625,1.625,1.21875,1.34375,1.875,1.21875,1.7395833333333333,1.21875,1.125,1.675,1.1875,1.96875,1.1875,1.03125,1.2,1.65625,1.1979166666666667,1.1979166666666667,1.3,1.125,1.375,0.81875,1.21875,1.5,1.2083333333333333,1.34375,1.1875,0.475,1.375,1.25
O5 ac,1.25,1.25,1.4375,1.4375,1.1875,1.7083333333333333,1.375,1.5,0.375,0.0,1.1875,1.1875,1.1875,1.0,1.2291666666666667,1.1375,1.125,1.3125,1.375,1.28125,1.375,1.0,1.65625,1.28125,1.28125,1.71875,1.34375,1.71875,1.71875,1.4375,1.34375,1.4375,1.5625,1.2625,1.375,1.4375,1.1458333333333333,1.2625,1.25,1.9166666666666667,1.7291666666666667,1.1041666666666667,2.25,1.375,1.28125,1.75,1.3958333333333333,1.6,1.2125,1.4166666666666667,1.25,1.53125,1.25,0.96875,1.2625,1.4375,1.28125,1.5625,1.1041666666666667,1.1041666666666667,1.4375,1.21875,1.125,1.25,1.28125,1.625,1.9166666666666667,1.2708333333333333,1.53125,1.2708333333333333,2.0833333333333335,1.25,0.99375,1.0875,1.4625,1.1375,0.96875,0.78125,1.65625,1.21875,1.4791666666666667,1.3125,1.09375,1.40625,1.25,1.06875,1.34375,1.4375,1.46875,1.0,0.78125,1.0,1.125,1.3125,0.84375,1.06875,1.5,2.75,1.125,1.53125,1.4375,1.75,1.7708333333333333,1.11875,1.25,1.1875,0.8375,1.28125,1.3125,1.125,1.6875,1.25,1.0,1.03125,0.6875,1.28125,1.175,0.8375,1.375,1.15625,1.3125,1.125,1.375,1.7395833333333333,1.125,1.15625,1.3958333333333333,0.65625,1.34375,1.25,1.34375,1.28125,2.0208333333333335,1.5625,1.075,1.25,1.4375,1.4375,1.5,1.8125,1.0,1.1875,1.25,1.6041666666666667,1.03125,1.25,1.4375,1.0,1.125,1.125,1.1041666666666667,1.2375,1.5625,1.40625,0.66875,1.03125,1.5729166666666667,1.40625,0.75,1.4375,1.6875,1.28125,1.53125,1.875,1.125,1.7395833333333333,1.40625,1.34375,1.3875,1.25,1.71875,1.25,1.09375,1.2625,1.40625,1.1354166666666667,1.1354166666666667,1.075,1.0625,1.125,1.00625,1.125,1.5625,1.2708333333333333,1.09375,0.875,0.56875,1.375,1.0
